Model,Train R²,valid R²,MSE,RMSE,MAE
Linear Regression,0.5592098423036329,0.5797994230878523,1142092.5900222952,1068.6873209794787,791.3860104413146
Random Forest,0.6826598389725864,0.6204528989612819,1031597.6594943887,1015.6759618571214,713.012954357204
Extra Trees,0.614144142270534,0.6193554199120483,1034580.5746989443,1017.1433402913005,710.497409161003
Gradient Boosting,0.6230037990114905,0.61575139278248,1044376.2125563853,1021.9472650564634,716.0089006778423
Hist Gradient Boosting,0.6110380068897481,0.6170945514354456,1040725.5475429079,1020.1595696472723,717.7116558191118
XGBoost,0.6195331023516737,0.6166262102501924,1041998.48486539,1020.7832702711139,714.8805186038593
LightGBM,0.6177665080791652,0.6171663900080728,1040530.2924528784,1020.0638668499529,714.3398289131088
